,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Transit Signal,Tier2_SNR,Tier2 Transit S/N,cumulative transit [days],N cumulative transit [days]
1,350,350,K2-141 c,K2-141 c,1.0,1.0,1.0,6.277097614,46.09100343,91.41320048,Transit,1,1,1,0,0,0,0.71,-0.03,0.03,4599.0,-79.0,79.0,0.68,-0.02,0.02,61.8736,-0.1654,0.1662,4.62,-0.03,0.02,Gaia DR2 2643952940813536768,8.524,9.086,8.401,11.454,10.7217,8.311,0,-0.06,-0.1,0.08,[Fe/H],6.3,-4.7,6.6,K7 V,350.9170464,-1.1891827,6.994403976,4.5956821,-2.802245183,0.624,0.41,-0.25,7.399045306,0.0,0.0,0.02328,0.0,0.0,1,0,0.0,7.7485,1309.517619,-0.00022,0.00022,720.1851074,10228120933.0,0.068415525,0.1,2.3,9593.821339,0.5,1,88.67521158,-2.0,1.6,0.0,,,0,90.0,,,7751.1546,0.001,-0.001,0,7755.02885,0.0,,,,1,2018,Ariel,40.1106877806666,1.5420924331598942,3.3706800456242325,0.003736995342615,0.7029848977866276,19.03289454773528,0.33311879649305554,0.33311879649305554
2,18,18,KELT-11 b,KELT-11 b,1.0,1.0,1.0,1.0,1.0,1.0,Transit,1,1,1,0,0,0,1.44,-0.07,0.07,5375.0,-25.0,25.0,2.69,-0.04,0.04,99.1596,-0.52105,0.52105,3.7,-0.1,0.1,Gaia DR2 3761497761876022400,6.251,6.616,6.122,8.04,7.83112,6.152,0,0.17,-0.07,0.07,[Fe/H],,,,G8/K0 IV,161.7069053,-9.3993646,15.13212399,1.120898073,-1.120898073,1.35,0.1,-0.1,54.34865753,4.767426099,-4.767426099,0.171,0.015,-0.015,0,1,0.0,4.7361,45.47610389,-3e-05,3e-05,1646.55533,9324653866.0,0.062372267,0.3,2.3,25534.76868,0.404,1,85.3,-0.2,0.2,0.0007,-0.0005,0.002,0,-1.0,-74.6,147.4,7483.431,0.0007,-0.0007,0,7485.79905,0.0,0.265,0.035,-0.038,1,2017,Ariel,154.8677036057113,2.420054703200389,8.565491927502052,0.0008014723311705,10.772894234067431,18.26312148715168,1.2197427089930555,1.2197427089930555
3,206,206,WASP-107 b,WASP-107 b,1.0,1.0,1.0,1.11799682,8.300111312,16.99464679,Transit,1,1,1,0,0,0,0.68,-0.02,0.02,4425.0,-70.0,70.0,0.67,-0.02,0.02,64.7414,-0.2596,0.2617,4.63,-0.01,0.01,Gaia DR2 3578638842054261248,8.777,9.378,8.637,11.592,11.174,8.575,0,0.02,-0.09,0.09,[Fe/H],3.4,-0.7,0.7,K6,188.3864277,-10.1462141,10.53644189,0.224179615,-0.224179615,0.94,0.02,-0.02,30.51152703,1.589142033,-1.589142033,0.096,0.005,-0.005,0,1,14.1,5.7214742,693.1340222,,,719.8118081,8236440776.0,0.055093249,0.3,2.3,10116.38788,0.139,1,89.56,-0.078,0.078,0.06,-0.04,0.04,0,40.0,-60.0,40.0,7584.329746,1.1e-05,-1.1e-05,0,7587.190483,10928.01267,2.5549,0.000131,-0.000131,1,2017,Ariel,88.06109447341234,2.802283924031806,7.595106403398618,0.0033962000098754,2.038262771806339,16.282343672175838,1.571006177048611,1.571006177048611
4,58,58,WASP-127 b,WASP-127 b,1.0,1.0,1.0,1.0,1.147439651,2.275262516,Transit,1,1,1,0,0,0,0.95,-0.02,0.02,5620.0,-85.0,85.0,1.33,-0.03,0.03,159.507,-1.191,1.21,4.18,-0.01,0.01,Gaia DR2 3778075717162985600,8.738,9.092,8.641,10.148,10.054,8.621,0,-0.193,-0.014,0.014,[M/H],11.41,-1.8,1.8,,160.5587646,-3.8349989,14.69497374,0.280224518,-0.325060441,1.311,0.025,-0.029,52.34633857,6.801527901,-5.466648593,0.1647,0.0214,-0.0172,0,1,22.0,4.17806203,161.1741223,-5.3e-07,8.8e-07,1352.816831,7466592285.0,0.049943761,0.3,2.3,15166.83018,0.29,1,87.84,-0.33,0.36,0.0,,,0,,,,6776.62124,0.00023,-0.00028,0,6778.710271,0.0,1.021,0.005,-0.01,1,2016,Ariel,127.24898567798282,2.4716377820442177,6.766675762823667,0.0025613077380547,5.755082781728699,14.23554615783632,2.0976322249652775,2.0976322249652775
5,4,4,HD 209458 b,HD 209458 b,1.0,1.0,1.0,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.23,-0.09,0.09,6091.0,-10.0,10.0,1.19,-0.02,0.02,48.3016,-0.1234,0.124,4.45,-0.02,0.02,Gaia DR2 1779546757669063552,6.366,6.591,6.308,7.65,7.50866,6.308,0,0.01,,,[Fe/H],3.1,-0.7,0.8,G0 V,330.7950219,18.8842419,15.58048322,0.224179615,-0.224179615,1.39,0.02,-0.02,216.7589733,4.449597692,-4.767426099,0.682,0.014,-0.015,0,1,84.27,3.52474859,13.94661498,-3.8e-07,3.8e-07,1405.91027,7265828019.0,0.048600856,0.3,2.3,11050.66673,0.507,1,86.71,-0.05,0.05,0.0,,,0,0.0,0.0,0.0,1659.93742,2e-05,-2e-05,0,1661.699794,0.0,1.5,0.0024,-0.0024,1,1999,Ariel,509.5210349991608,9.10440112300741,27.75595360045761,0.0009570514304102,21.3558296964338,14.130041475621285,2.481335930868055,2.481335930868055
6,36,36,HAT-P-67 b,HAT-P-67 b,1.0,1.0,1.0,1.0,1.0,1.372572717,Transit,1,1,1,0,0,0,1.64,-0.07,0.15,6406.0,-61.0,65.0,2.55,-0.08,0.1,371.686,-3.497,3.563,3.85,-0.02,0.01,Gaia DR2 1358614983131339392,8.961,9.145001,8.9,10.106,9.97496,8.856,0,-0.08,-0.05,0.05,[Fe/H],1.24,-0.22,0.27,,256.6107279,44.7768849,23.37072482,1.07606215,-0.795837632,2.085,0.096,-0.071,108.0616582,79.45710165,-60.38739725,0.34,0.25,-0.19,0,1,36.0,4.8101025,96.61950033,-3.3e-07,4.3e-07,1860.033202,9838951426.0,0.065812384,0.3,2.3,25853.09549,0.12,1,88.8,-1.3,1.1,0.0,,,0,,,,5961.38467,0.00076,-0.00064,0,5963.789721,0.0,,,,1,2017,Ariel,112.88937000338052,2.017267110995451,5.911188386180493,0.0018667715196886,8.638177077076797,12.12074216877383,3.3790128576041663,3.3790128576041663
7,51,51,WASP-69 b,WASP-69 b,1.0,1.0,1.0,1.0,1.0,1.956398575,Transit,1,1,1,0,0,0,0.98,-0.14,0.14,4700.0,-50.0,50.0,0.86,-0.03,0.03,49.9605,-0.1313,0.132,4.5,-0.15,0.15,Gaia DR2 6910753016653587840,7.543,8.032,7.459,9.873,9.48466,7.315,0,0.15,,,[Fe/H],7.0,-7.0,7.0,K5,315.0259661,-5.094857,12.44196861,0.448359229,-0.448359229,1.11,0.04,-0.04,82.63538571,5.879825522,-5.879825522,0.26,0.0185,-0.0185,0,1,38.1,3.86814,141.0397963,-2e-06,2e-06,928.6051758,7166516875.0,0.047936568,0.3,2.3,8008.496814,0.686,1,86.71,-0.2,0.2,0.0,,,0,90.0,,,7176.17789,0.00017,-0.00017,0,7178.11196,0.0,1.8,0.042,-0.042,1,2014,Ariel,220.9954086753312,5.442820350514118,15.070501166924185,0.0016167443641258,5.683850128825572,11.961226665623483,3.657085663645833,3.657085663645833
8,2,2,HD 189733 b,HD 189733 b,1.0,1.0,1.213407685,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.79,-0.08,0.08,5052.0,-16.0,16.0,0.75,-0.01,0.01,19.7638,-0.0127,0.0128,4.49,-0.05,0.05,Gaia DR2 1827242816201846144,5.587,6.073,5.541,7.67,7.41432,5.289,0,-0.02,,,[Fe/H],1.4,-1.9,4.9,K2 V,300.1821223,22.7097759,12.66614823,0.112089807,-0.112089807,1.13,0.01,-0.01,370.5879221,16.52707714,-15.57359192,1.166,0.052,-0.049,0,1,208.0,2.21857567,7.11290839,-1.5e-07,1.5e-07,1162.930605,4604224671.0,0.030797489,0.3,2.3,6544.78771,0.6636,1,85.71,0.0,0.0,0.0,,,0,20.0,-50.0,37.0,3955.525551,9e-06,-9e-06,0,3956.634839,0.0,2.4,0.0058,-0.0058,1,2005,Ariel,1063.0232002215917,23.55256836030353,61.44583679593408,0.0006262959786521,28.586653870594265,9.698577854021314,3.8843352369097217,3.8843352369097217
9,326,326,AU Mic b,AU Mic b,1.0,1.363524543,2.301135939,20.53383495,40.45154108,71.19229732,Transit,1,1,2,0,0,0,0.5,-0.03,0.03,3700.0,-100.0,100.0,0.75,-0.03,0.03,9.7221,-0.004625,0.004625,4.39,-0.03,0.03,Gaia DR2 6794047652729201024,4.831,5.436,4.529,8.81,7.84038,4.449,0,,,,,0.022,-0.003,0.003,M1,311.2911369,-31.34245,4.068860005,0.168134711,-0.168134711,0.363,0.015,-0.015,17.00064147,4.999440836,-4.999440836,0.05349,0.01573,-0.01573,0,1,8.5,8.463,1193.547166,-2e-06,2e-06,626.4279341,9650967990.0,0.06455497,0.1,2.3,13016.35933,0.18,1,89.5,-0.3,0.3,0.0,,,0,,,,8330.39051,0.00015,-0.00015,0,8334.62201,0.0,,,,2,2020,Ariel,58.88061062514412,10.470223621011105,6.123976634706253,0.0002289398103735,1.0926278608899045,8.152131231264885,4.336292158090277,4.336292158090277
10,0,0,HAT-P-32 b,HAT-P-32 b,1.0,1.0,1.657981718,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.13,-0.05,0.05,6001.0,-88.0,88.0,1.37,-0.03,0.03,289.205,-5.167,5.355,4.22,-0.04,0.04,Gaia DR2 356348286886230272,10.024,10.251,9.99,11.439,11.1335,9.902,0,-0.16,-0.08,0.08,[Fe/H],2.7,-0.8,0.8,,31.0427614,46.6878512,22.19378185,0.504404133,-0.504404133,1.98,0.045,-0.045,216.1233165,34.96112473,-31.78284066,0.68,0.11,-0.1,0,1,99.0,2.1500082,2.1500082,-1.3e-07,1.3e-07,1777.378359,5080239714.0,0.033981537,0.3,2.3,12802.4963,0.083,1,88.98,-0.85,0.68,0.159,-0.028,0.051,0,50.0,-18.0,27.0,5867.402743,4.9e-05,-4.9e-05,0,5868.477747,16353.75933,2.216,0.017,-0.016,1,2011,Ariel,214.62472669012644,4.473785336494847,12.6267487018006,0.0026462872337162,12.3145282849542,8.009293258655969,4.780823279618055,4.780823279618055
11,5,5,HIP 65 A b,HIP 65 A b,1.0,1.0,1.7553946,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,0.78,-0.03,0.03,4590.0,-49.0,49.0,0.72,-0.01,0.01,61.7856,-0.0804,0.0806,4.61,-0.01,0.01,Gaia DR2 4923860051276772608,8.4,8.922,8.29,11.0,10.5895,8.121,0,0.18,-0.08,0.08,[Fe/H],4.1,-2.8,4.3,K4 V,0.1856063,-54.8308228,22.75423088,6.837478246,-5.492400558,2.03,0.61,-0.49,1021.18267,24.79061571,-24.79061571,3.213,0.078,-0.078,0,1,753.7,0.9809734,14.92758838,-3.1e-06,3.1e-06,1361.757722,2660935422.0,0.017798899,0.3,2.3,6086.249957,0.5,1,84.60071945,-1.0,0.92,0.0,,,0,291.42,,,8326.10418,0.00011,-0.00011,0,8326.594667,0.0,8.2,5.8,-3.4,2,2020,Ariel,1579.0378993656027,20.110147651445928,96.35935476565136,0.0016742635091671,49.014415840195625,7.1918079467876765,4.992151403124999,4.992151403124999
12,87,87,WASP-20 b,WASP-20 b,1.0,1.06709341,2.089444002,1.0,2.180405563,4.338214779,Transit,1,1,2,0,0,0,1.2,-0.04,0.04,5940.0,-100.0,100.0,1.39,-0.04,0.04,211.877,,,4.23,-0.02,0.02,Gaia DR2 2359978293136820864,9.417,9.701,9.39,10.675,10.6503,9.328,0,-0.008,-0.06,0.06,[Fe/H],7.0,-1.0,2.0,F9,5.1605621,-23.9357894,16.38752983,0.661329863,-0.661329863,1.462,0.059,-0.059,98.84463445,6.038739725,-5.720911319,0.311,0.019,-0.018,0,1,32.9,4.8996284,246.723377,-3.3e-06,3.3e-06,1333.209338,8975675796.0,0.060037965,0.3,2.3,12264.6735,0.718,1,85.56,-0.22,0.22,0.0,,,0,,,,5715.65562,0.00029,-0.00029,0,5718.105434,0.0,1.164,0.023,-0.023,1,2015,Ariel,93.67356515178538,3.752859048638479,5.614342012982888,0.0016973134195591,4.294079453878489,6.917836422472874,5.418008121874999,5.843864840624999
13,14,14,WASP-76 b,WASP-76 b,1.0,1.061796208,2.069376856,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.46,-0.07,0.07,6250.0,-100.0,100.0,1.73,-0.04,0.04,194.459,-5.839,6.206,4.13,-0.02,0.02,Gaia DR2 2512326349403275520,8.331,8.541,8.243,9.518,9.39507,8.19,0,0.23,-0.1,0.1,[Fe/H],5.3,-2.9,6.1,F7,26.632936,2.700389,20.51243474,0.672538844,-0.448359229,1.83,0.06,-0.04,292.4021341,9.534852198,-9.534852198,0.92,0.03,-0.03,0,1,119.3,1.809886,32.42343465,-1e-06,1e-06,2110.974286,4933060164.0,0.032997058,0.3,2.3,13517.1962,0.14,1,88.0,-1.6,1.3,0.0,,,0,,,,6107.85507,0.00034,-0.00034,0,6108.760013,0.0,1.189,0.016,-0.016,1,2016,Ariel,318.31550067966816,7.085691785774628,16.985514467435195,0.0011501851299393,18.48224577524502,6.894090847175709,5.8873552121527775,6.782559021180554
14,55,55,WASP-94 A b,WASP-94 A b,1.0,1.102576981,2.155616764,1.0,1.06653885,2.096502509,Eclipse,1,1,2,0,0,0,1.67,-0.64,0.64,6170.0,-80.0,80.0,1.48,-0.12,0.12,211.211,-2.454,2.513,4.27,-0.07,0.07,Gaia DR2 6780546169633475456,8.916,9.159,8.874,10.051,10.0285,8.801,0,0.26,,,[Fe/H],2.7,-0.6,0.6,F8,313.7832393,-34.1357512,17.71018955,1.457167495,-1.457167495,1.58,0.13,-0.13,144.9297534,11.44182264,-10.80616582,0.456,0.036,-0.034,0,1,45.9,3.95019,149.1696669,-4e-06,4e-06,1453.047144,8680580996.0,0.058064087,0.3,2.3,14165.84998,0.17,1,88.7,-0.7,0.7,0.0,,,0,,,,6416.40215,0.00026,-0.00026,0,6418.377245,0.0,1.2,0.016,-0.016,1,2014,Ariel,136.1780293855049,4.711370716853825,6.886559865959131,0.0014046698553921,6.204448416072902,6.733410532978747,6.379225003125,7.766298603124999
15,203,203,GJ 436 b,GJ 436 b,1.0,1.355341408,2.619652447,1.704022646,9.349614676,16.28245989,Transit,1,1,3,0,0,0,0.47,-0.07,0.07,3586.11,-36.37,36.37,0.46,-0.02,0.02,9.75321,-0.00896,0.00898,4.79,-0.04,0.05,Gaia DR2 4017860992519744384,6.319,6.9,6.073,10.67,9.57148,6.017,0,0.099,-0.078,0.078,[Fe/H],6.0,-5.0,4.0,M2.5 V,175.5505363,26.7030669,4.169740832,0.168134711,-0.168134711,0.372,0.015,-0.015,25.40084626,2.100845768,-1.999140677,0.07992,0.00661,-0.00629,0,1,17.59,2.64388312,678.102424,-5.7e-07,5.7e-07,708.0229527,4352700318.0,0.029115052,0.1,2.3,4248.748378,0.736,1,86.44,-0.16,0.17,0.13827,-0.00018,0.00018,0,351.0,-0.03,0.03,4510.80162,7e-05,-7e-05,0,4512.123562,4068.837389,0.6819,0.0028,-0.0028,1,2004,Ariel,118.83796713355052,14.8958813711558,12.841208119131736,0.0004954849531803,1.740016816685959,6.018904486717288,6.526750988472222,8.061350573819443
16,348,348,GJ 3470 b,GJ 3470 b,1.0,1.335633556,2.644245823,6.220076699,45.89211853,90.69894119,Transit,1,1,3,0,0,0,0.54,-0.04,0.05,3600.0,-100.0,100.0,0.55,-0.02,0.02,29.4214,-0.0507,0.0508,4.7,-0.05,0.05,Gaia DR2 654687847820642560,8.206,8.794,7.989,12.332,11.3537,7.807,0,0.2,-0.1,0.1,[Fe/H],1.65,-1.35,1.35,M1.5,119.7735021,15.391209,4.573264138,0.179343692,-0.179343692,0.408,0.016,-0.016,12.57964833,1.309453035,-1.280848479,0.03958,0.00412,-0.00403,0,1,8.21,3.3366496,1296.401366,-3.3e-06,3.9e-06,702.7322631,5323978594.0,0.035611897,0.1,2.3,6592.825576,0.4,1,89.13,-0.34,0.26,0.017,-0.012,0.016,0,1.7,-1.2,0.96,5983.70421,,,0,5985.372535,6599.4788,0.52,0.04,-0.04,1,2012,Ariel,40.34676830781442,6.132704982969592,4.221995773344903,0.0009164202259369,0.7011426299580447,5.512540726644645,6.755668543194444,8.519185683263887
17,172,172,WASP-39 b,WASP-39 b,1.0,1.972112104,3.869888118,1.0,6.372018536,12.689816,Transit,1,2,4,0,0,0,0.93,,0.03,5400.0,,150.0,0.9,,0.02,213.982,-1.731,1.76,4.45,-0.01,0.01,Gaia DR2 3643098875168270592,10.307,10.663,10.202,12.095,11.8867,10.159,0,0.01,-0.09,0.09,[Fe/H],9.0,-4.0,3.0,,217.3266477,-3.4444994,14.23540553,0.448359229,-0.448359229,1.27,0.04,-0.04,89.30978225,10.17050901,-10.17050901,0.281,0.032,-0.032,0,1,0.0,4.055259,551.9702443,-9e-06,9e-06,1083.803996,7267828889.0,0.04861424,0.3,2.3,10138.41121,0.447,1,87.83,-0.22,0.25,0.0,,,0,0.0,,,5342.9688,0.0002,-0.0002,0,5344.996429,0.0,2.11,0.03,-0.04,1,2011,Ariel,87.60170115654132,4.493611140079821,5.032029561503348,0.0023877130982867,2.701452527724914,5.331676717444996,7.107696710208333,9.223242017291664
18,394,394,GJ 1214 b,GJ 1214 b,1.0,1.681674322,3.355061692,10.92159468,95.10109278,177.6258751,Transit,1,2,3,0,0,0,0.18,-0.01,0.01,3250.0,-100.0,100.0,0.21,-0.01,0.01,14.6427,-0.0372,0.0372,5.03,-0.04,0.04,Gaia DR2 4393265392167891712,9.094,9.75,8.782,15.1,13.0089,8.598,0,0.29,-0.12,0.12,[Fe/H],3.0,,,M4 V,258.8313991,4.9606795,2.746200279,0.044835923,-0.056044904,0.245,0.004,-0.005,8.171368334,0.429068349,-0.429068349,0.02571,0.00135,-0.00135,0,1,14.36,1.58040433,1605.942394,-1.3e-07,1.3e-07,603.9487151,2243025902.0,0.015003518,0.1,2.3,3035.292692,0.325,1,88.7,-0.1,0.1,0.0,,,1,0.0,,,5701.413328,6.6e-05,-5.9e-05,0,5702.20353,0.0,,,,1,2009,Ariel,51.17792014078998,11.047563778166644,6.74886549853522,0.0018008730590674,0.5401433860101059,5.2082675348726415,7.213088817569444,9.434026232013887
19,88,88,WASP-177 b,WASP-177 b,1.0,2.005366495,3.936767072,1.0,2.213201348,4.411207617,Transit,1,2,4,0,0,0,0.88,-0.04,0.04,5017.0,-70.0,70.0,0.89,-0.05,0.05,176.818,-2.364,2.428,4.49,-0.04,0.05,Gaia DR2 2677447294810845824,10.244,10.654,10.163,12.312,12.0715,10.077,0,0.25,-0.04,0.04,[Fe/H],9.7,-3.9,3.9,K2,334.7969885,-1.8344301,17.71018955,7.397927282,-4.035233063,1.58,0.66,-0.36,161.4568306,12.07747945,-12.07747945,0.508,0.038,-0.038,0,1,77.3,3.071722,249.795099,-1e-06,1e-06,1108.631242,5928982148.0,0.039658743,0.3,2.3,5837.618745,0.98,1,84.14,-0.83,0.66,0.0,,,0,,,,7994.3714,0.00028,-0.00028,0,7995.907261,0.0,1.85,0.35,-0.14,1,2019,Ariel,161.28689200808233,5.248632289828384,10.51416317209854,0.0026602730721374,4.358848937386036,5.1365024716583525,7.4157839128819445,9.839416422638887
20,120,120,WASP-17 b,WASP-17 b,1.0,2.247813806,4.408798737,1.0,3.180833951,6.264984069,Transit,1,2,4,0,0,0,2.28,-0.99,0.99,6550.0,-100.0,100.0,1.49,-0.19,0.19,405.908,-8.421,8.779,4.2,-0.2,0.2,Gaia DR2 6042793005779654656,10.319,10.509,10.224,11.588,11.3803,10.197,0,-0.25,,,[Fe/H],2.65,-0.25,0.25,F4,239.9622479,-28.0617941,20.96079397,2.690155375,-2.690155375,1.87,0.24,-0.24,162.7281442,11.75965104,-11.75965104,0.512,0.037,-0.037,0,1,56.0,3.73543,369.6126107,-8e-06,8e-06,1497.111625,9277621781.0,0.062057671,0.3,2.3,12141.56859,0.4,1,86.63,-0.42,0.42,0.0,,,0,-82.6,-2.6,14.6,4592.80154,5e-05,-5e-05,0,4594.669255,0.0,1.7,0.018,-0.018,1,2009,Ariel,99.2401790608391,3.776446681764996,4.950200244313247,0.0021083760503397,4.313497679994842,5.0901752807998175,7.837366155590278,10.682580908055554
21,20,20,KELT-9 b,KELT-9 b,1.0,1.793284766,3.47511354,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,2.52,-0.2,0.25,10170.0,-450.0,450.0,2.36,-0.06,0.07,204.455,-1.558,1.582,4.09,-0.01,0.01,Gaia DR2 2064327278651198336,7.492,7.458,7.482,7.55,7.57675,7.399,0,-0.03,-0.2,0.2,[Fe/H],0.3,,,B9.5-A0,307.8598998,39.9389161,21.19618256,0.683747825,-0.594075979,1.891,0.061,-0.053,775.5013121,222.4798846,-222.4798846,2.44,0.7,-0.7,0,1,0.0,1.4811235,50.43133589,-1.1e-06,1.1e-06,3916.236076,5177168998.0,0.034629893,0.3,2.3,14066.71499,0.177,1,86.79,-0.25,0.25,0.0,,,0,90.0,,,7095.68572,0.00014,-0.00014,0,7096.426282,0.0,0.677,0.0072,-0.0072,1,2017,Ariel,343.14587053546205,17.599623537032397,23.31423631385543,0.0004770250523747,34.59657213336961,5.076822850250535,8.325793759409722,11.659436115694444
22,115,115,TOI-1130 c,TOI-1130 c,1.0,1.675921465,3.302676548,1.0,3.043566333,5.894111667,Transit,1,2,3,0,0,0,0.68,-0.02,0.02,4250.0,-67.0,67.0,0.69,-0.01,0.01,58.2609,-0.1691,0.17,4.6,-0.02,0.02,Gaia DR2 6715688452614516736,8.493,9.055,8.351,11.595,10.9028,8.266,0,0.2,,,[Fe/H],8.2,-4.9,3.8,K7,286.3760037,-41.4376399,16.8134711,3.026424797,-2.465975761,1.5,0.27,-0.22,309.564868,13.66662148,-13.98444989,0.974,0.043,-0.044,0,1,125.9,8.350381,350.4109936,-3.3e-05,3.2e-05,658.6202821,10597541964.0,0.070886568,0.1,2.3,7400.484149,0.995,1,87.43,-0.16,0.16,0.047,-0.027,0.04,0,-28.0,-55.0,24.0,8657.90461,0.00021,-0.00022,0,8662.079801,0.0,1.668,0.001514,-0.001514,2,2020,Ariel,198.50089952639888,11.165368172765582,18.810207033219434,0.001101988828677,2.819688918115975,5.026035893336188,8.582755014583332,12.173358626041665
23,124,124,WASP-131 b,WASP-131 b,1.0,1.993408783,3.894838181,1.0,3.275110363,6.503053484,Transit,1,2,4,0,0,0,1.06,-0.06,0.06,6030.0,-90.0,90.0,1.53,-0.05,0.05,200.075,-2.591,2.659,4.09,-0.03,0.03,Gaia DR2 6173451477191225984,8.653,8.895001,8.573,10.068,9.86708,8.537,0,-0.18,-0.08,0.08,[Fe/H],4.5,-3.5,3.5,G0,210.1935714,-30.5836084,13.67495649,0.560449037,-0.560449037,1.22,0.05,-0.05,85.81366978,6.356568132,-6.356568132,0.27,0.02,-0.02,0,1,30.5,5.322023,386.2594891,-5e-06,5e-06,1410.18327,9100203405.0,0.060870926,0.3,2.3,13685.88411,0.73,1,85.0,-0.3,0.3,0.0,,,0,,,,6919.8236,0.0004,-0.0004,0,6922.484611,0.0,0.665,0.012,-0.012,1,2016,Ariel,85.10664781856744,4.678867130280529,4.074296931978956,0.000991790614382,3.488790840107564,5.02562890609037,9.057959323958332,13.123767244791665
24,12,12,WASP-189 b,WASP-189 b,1.0,2.315344921,4.206662087,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,2.03,-0.07,0.07,8000.0,-80.0,80.0,2.36,-0.03,0.03,99.731,-0.7432,0.754,3.9,-0.2,0.2,Gaia DR2 6339097679918871168,6.12,6.166,6.06,6.59776,6.55369,6.097,0,0.29,-0.13,0.13,[Fe/H],0.73,-0.13,0.13,,225.686732,-3.0314874,18.1473398,0.235388595,-0.235388595,1.619,0.021,-0.021,632.4785291,50.85254506,-44.49597692,1.99,0.16,-0.14,0,1,182.0,2.724033,29.39367865,,,2606.643375,7231108901.0,0.048368621,0.3,2.3,16418.59337,0.478,1,84.03,-0.14,0.14,0.0,,,0,,,,8926.541696,6.5e-05,-6.4e-05,0,8927.903712,0.0,,,,1,2020,Ariel,372.2352922983744,19.581952304867087,20.985557570229595,0.0002443186677249,30.308478991610908,4.999347694319199,9.628049371527776,14.263947339930553
25,38,38,HAT-P-41 b,HAT-P-41 b,1.0,2.122127833,4.152780595,1.0,1.0,1.48076437,Eclipse,1,1,1,0,0,0,2.56,-1.9,1.9,6390.0,-100.0,100.0,2.05,-0.5,0.5,348.185,-4.417,4.529,4.14,-0.02,0.02,Gaia DR2 4290415081653653632,9.777,10.006,9.728,11.365,10.939,9.559,0,0.21,,,[Fe/H],2.2,-0.4,0.4,,297.3226523,4.6724124,22.9784105,5.604490365,-5.604490365,2.05,0.5,-0.5,254.2627253,31.78284066,-31.78284066,0.8,0.1,-0.1,0,1,0.0,2.69405,102.5257703,-4e-06,4e-06,1873.807621,7754998820.0,0.051872902,0.3,2.3,14811.65187,0.222,1,87.7,-1.0,1.0,0.0,,,0,,,,8071.24389,0.00012,-0.00012,0,8072.590915,0.0,1.1,0.033,-0.033,1,2012,Ariel,116.97994856017104,4.909970405065444,7.717349408887972,0.0011754399439369,8.555269622566685,4.9496999829715325,10.14234283923611,15.806827743055553
